Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Fluor Corp,FLR,Buy,Filled,10,10,@45.74,45.74,DAY,10/10/2025 10:52:04 EDT,10/10/2025 10:52:04 EDT
iShares MSCI Brazil ETF,EWZ,Buy,Filled,20,20,@29.36,29.36,DAY,10/10/2025 10:50:59 EDT,10/10/2025 10:50:59 EDT
Cellebrite Di Ltd,CLBT,Short,Filled,20,20,@19.56,19.56,DAY,10/10/2025 10:49:50 EDT,10/10/2025 10:49:50 EDT
Canadian Natural Resources,CNQ,Sell,Filled,15,15,@32.28,32.28,DAY,10/10/2025 10:41:19 EDT,10/10/2025 10:41:21 EDT
ASP Isotopes,ASPI,Sell,Filled,50,50,@10.73,10.73,DAY,10/10/2025 10:40:11 EDT,10/10/2025 10:43:32 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,10,10,@51.66,51.66,DAY,10/10/2025 09:59:56 EDT,10/10/2025 09:59:56 EDT
Uber Technologies,UBER,Buy,Filled,30,30,@96.25,96.25,DAY,10/10/2025 09:59:18 EDT,10/10/2025 09:59:18 EDT
BIGBEAR AI HLDGS INC,BBAI,Buy,Filled,25,25,@8.23,8.23,DAY,10/10/2025 09:52:27 EDT,10/10/2025 09:58:59 EDT
Aramark US,ARMK,Sell,Filled,10,10,@39.64,39.64,DAY,10/10/2025 09:51:40 EDT,10/10/2025 09:51:40 EDT
Crh Plc,CRH,Sell,Filled,10,10,@118.16,118.16,DAY,10/10/2025 09:50:27 EDT,10/10/2025 09:50:27 EDT
Amer Sports,AS,Buy,Filled,10,10,@32.85,32.85,DAY,10/10/2025 08:00:06 EDT,10/10/2025 08:00:06 EDT
Occidental Pet,OXY,Short,Filled,55,55,@44.51,44.51,DAY,10/09/2025 14:40:43 EDT,10/09/2025 14:40:43 EDT
The Interpublic Group,IPG,Sell,Filled,95,95,@26.63,26.63,DAY,10/09/2025 14:08:40 EDT,10/09/2025 14:08:41 EDT
BIGBEAR AI HLDGS INC,BBAI,Short,Filled,25,25,@7.27,7.27,DAY,10/09/2025 13:15:20 EDT,10/09/2025 14:16:50 EDT
Corebridge Financial Inc,CRBG,Buy,Filled,10,10,@32.21,32.21,DAY,10/09/2025 12:35:16 EDT,10/09/2025 12:40:20 EDT
Amer Sports,AS,Buy,Filled,20,20,@33.29,33.29,DAY,10/09/2025 12:25:40 EDT,10/09/2025 12:26:58 EDT
Aramark US,ARMK,Buy,Filled,10,10,@39.89,39.89,DAY,10/09/2025 12:25:11 EDT,10/09/2025 12:25:11 EDT
Algonquin Power,AQN,Short,Filled,50,50,@5.83,5.83,DAY,10/09/2025 12:24:41 EDT,10/09/2025 12:34:06 EDT
Zeta Global Holdings Corp,ZETA,Buy,Filled,25,25,@20.91,20.91,DAY,10/09/2025 09:24:26 EDT,10/09/2025 09:24:26 EDT
Nextdecade,NEXT,Buy,Filled,50,50,@6.75,6.75,DAY,10/08/2025 19:43:11 EDT,10/08/2025 19:56:24 EDT
Canadian Natural Resources,CNQ,Buy,Filled,15,15,@32.75,32.75,DAY,10/08/2025 19:38:04 EDT,10/08/2025 19:38:04 EDT
Mccormick & Co,MKC,Buy,Filled,25,25,@65.41,65.41,DAY,10/08/2025 10:40:51 EDT,10/08/2025 10:41:03 EDT
Crh Plc,CRH,Buy,Filled,10,10,@116.30,116.30,DAY,10/07/2025 14:37:52 EDT,10/07/2025 14:37:52 EDT
Centerpoint Energy Inc,CNP,Sell,Filled,20,20,@39.36,39.36,DAY,10/07/2025 14:29:52 EDT,10/07/2025 14:36:15 EDT
Coterra Energy Inc,CTRA,Sell,Filled,15,15,@24.19,24.19,DAY,10/07/2025 14:29:01 EDT,10/07/2025 14:29:42 EDT
Nike Inc Cl B,NKE,Buy,Filled,5,5,@69.35,69.35,DAY,10/07/2025 14:28:15 EDT,10/07/2025 14:28:19 EDT
Nike Inc Cl B,NKE,Buy,Filled,10,10,@69.36,69.36,DAY,10/07/2025 12:23:46 EDT,10/07/2025 12:23:46 EDT
Nike Inc Cl B,NKE,Buy,Filled,5,5,@69.77,69.77,DAY,10/07/2025 10:44:50 EDT,10/07/2025 11:09:52 EDT
Braze  Inc.,BRZE,Short,Filled,15,15,@27.98,27.98,DAY,10/07/2025 09:41:04 EDT,10/07/2025 09:41:10 EDT
Purecycle Technologies Inc,PCT,Buy,Filled,25,25,@14.87,14.87,DAY,10/07/2025 09:39:46 EDT,10/07/2025 09:40:13 EDT
Zeta Global Holdings Corp,ZETA,Short,Filled,10,10,@20.05,20.05,DAY,10/07/2025 09:39:01 EDT,10/07/2025 09:39:01 EDT
Mccormick & Co,MKC,Short,Filled,10,10,@66.20,66.20,DAY,10/07/2025 09:37:40 EDT,10/07/2025 09:43:03 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,100,100,@5.49,5.49,DAY,10/06/2025 15:48:42 EDT,10/06/2025 15:48:42 EDT
